Date, Locations, Prov, Issued At, Start CAP Link, Ended At, End CAP Link, Polygon Link
26/07/24,Lake of the Woods,ON,17:43,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/start-LakeoftheWoods-174307.cap,05:04,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/end-LakeoftheWoods-174307.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/24/LakeoftheWoods-174307.geojson
26/07/24,Berens River- Little Grand Rapids and Atikaki Prov. Park- Bloodvein,MB,19:10,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/start-BerensRiver-Little-191001.cap,00:44,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/end-BerensRiver-Little-191001.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/24/BerensRiver-Little-191001.geojson
26/07/24,R.M. of St. Clements incl. Grand Beach Brokenhead and Libau- R.M. of Brokenhead incl. Beausejour and Garson- R.M. of Springfield incl. Anola and Birds Hill Prov. Park- R.M. of East St. Paul incl. Birds Hill- Manigotagan Black River Res. and Hollow Water Res.- Bissett- Nopiming Prov. Park- R.M. of Alexander incl. Powerview-Pine Falls- R.M. of Victoria Beach- R.M. of Lac Du Bonnet- L.G. of Pinawa incl. Seven Sisters Falls,MB,19:10,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/start-R.M.ofSt.Clements-191001.cap,01:40,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/end-R.M.ofSt.Clements-191001.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/24/R.M.ofSt.Clements-191001.geojson
26/07/24,R.M. of Whitemouth incl. Elma- Pointe du Bois,MB,19:10,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/start-R.M.ofWhitemouthi-191001.cap,01:53,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/end-R.M.ofWhitemouthi-191001.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/24/R.M.ofWhitemouthi-191001.geojson
26/07/24,R.M. of Ritchot incl. St. Adolphe and Ste. Agathe- R.M. of Tache incl. Lorette Ste-Geneviève and Landmark- R.M. of De Salaberry incl. St-Pierre-Jolys and St. Malo- R.M. of Hanover incl. Steinbach Niverville and Grunthal- R.M. of Ste. Anne incl. Richer- R.M. of La Broquerie incl. Marchand- Mun. of Emerson-Franklin incl. Roseau River- R.M. of Stuartburn incl. Zhoda Vita and Sundown- Falcon Lake and West Hawk Lake- Shoal Lake Reserves- R.M. of Reynolds incl. Ste. Rita Hadashville and Rennie,MB,19:10,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/start-R.M.ofRitchotincl-191001.cap,03:30,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/end-R.M.ofRitchotincl-191001.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/24/R.M.ofRitchotincl-191001.geojson
26/07/24,Buffalo Point Res. and Northwest Angle Prov. Forest- R.M. of Piney incl. Sandilands and Sprague,MB,19:10,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/start-BuffaloPointRes.a-191001.cap,05:02,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/24/end-BuffaloPointRes.a-191001.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/24/BuffaloPointRes.a-191001.geojson
26/07/27,Co. of Stettler near Stettler Nevis and Rochon Sands- Co. of Stettler near Big Valley- Co. of Stettler near Donalda- Co. of Stettler near Botha and Gadsby- Co. of Stettler near Byemoor and Endiang- Co. of Paintearth near Halkirk and Big Knife Prov. Park- Flagstaff Co. near Forestburg and Galahad- Co. of Paintearth near Castor and Fleet- Co. of Paintearth near Coronation and Throne- S.A. 4 near Veteran and Consort,AB,21:04,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/27/start-Co.ofStettlernear-210435.cap,22:54,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/27/end-Co.ofStettlernear-210435.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/27/Co.ofStettlernear-210435.geojson
26/07/27,Co. of Paintearth near Brownfield,AB,21:04,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/27/start-Co.ofPaintearthne-210435.cap,00:11,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/27/end-Co.ofPaintearthne-210435.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/27/Co.ofPaintearthne-210435.geojson
26/07/27,Flagstaff Co. near Killam and Sedgewick- Flagstaff Co. near Lougheed and Hardisty- Flagstaff Co. near Alliance and Bellshill Lake- Co. of Vermilion River near Paradise Valley- M.D. of Wainwright near Irma- M.D. of Wainwright near Wainwright- M.D. of Wainwright near Edgerton and Koroluk Landslide- M.D. of Wainwright near Chauvin Dillberry Lake and Roros- M.D. of Provost near Hughenden Amisk and Kessler- M.D. of Provost near Czar Metiskow and Cadogan- M.D. of Provost near Provost and Hayter,AB,21:04,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/27/start-FlagstaffCo.nearK-210435.cap,00:11,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/27/end-FlagstaffCo.nearK-210435.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/27/FlagstaffCo.nearK-210435.geojson
26/07/27,R.M. of Parkdale including Glaslyn and Fairholme- R.M. of Medstead including Medstead Belbutte and Birch Lake- R.M. of Meota including Meota and The Battlefords Prov. Park- R.M. of Round Hill including Rabbit Lake and Whitkow,SK,21:59,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/27/start-R.M.ofParkdaleinc-215914.cap,02:25,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/27/end-R.M.ofParkdaleinc-215914.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/27/R.M.ofParkdaleinc-215914.geojson
26/07/27,R.M. of Frenchman Butte including St. Walburg- R.M. of Mervin including Turtleford Mervin and Spruce Lake- R.M. of Turtle River including Edam and Vawn- R.M. of Britannia including Hillmond- R.M. of Wilton including Lashburn Marshall and Lone Rock- R.M. of Eldon including Maidstone and Waseca- R.M. of Paynton including Paynton- R.M. of Manitou Lake including Marsden- R.M. of Hillsdale including Neilburg and Baldwinton- R.M. of Senlac including Senlac- R.M. of Round Valley including Unity- R.M. of Cut Knife including Cut Knife- R.M. of Battle River including Sweet Grass Res. and Delmas- R.M. of Buffalo including Phippen- The Battlefords- R.M. of North Battleford northwest of The Battlefords- R.M. of Douglas including Speers Richard and Alticane- R.M. of Mayfield including Maymont Denholm and Fielding- R.M. of Glenside north of Biggar,SK,21:59,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/27/start-R.M.ofFrenchmanBu-215914.cap,02:26,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/27/end-R.M.ofFrenchmanBu-215914.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/27/R.M.ofFrenchmanBu-215914.geojson
26/07/28,Brazeau Co. near Cynthia and Lodgepole,AB,18:45,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/28/start-BrazeauCo.nearCyn-184512.cap,00:41,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/28/end-BrazeauCo.nearCyn-184512.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/28/BrazeauCo.nearCyn-184512.geojson
26/07/28,Yellowhead Co. near MacKay Wildwood and Evansburg- Yellowhead Co. near Peers and Niton Junction- Woodlands Co. near Carson-Pegasus Prov. Park- Woodlands Co. near Goose Lake- Woodlands Co. near Whitecourt and Blue Ridge- Big Lakes County near Swan Hills,AB,18:45,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/28/start-YellowheadCo.near-184512.cap,00:41,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/28/end-YellowheadCo.near-184512.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/28/YellowheadCo.near-184512.geojson
26/07/28,Woodlands Co. near Fort Assiniboine Timeu and Topland- Co. of Barrhead near Thunder Lake and Holmes Crossing- Co. of Barrhead near Neerlandia Bloomsbury and Vega- Co. of Barrhead near Barrhead and Lac la Nonne- Lac Ste. Anne Co. near Mayerthorpe and Sangudo- Lac Ste. Anne Co. near Cherhill and Glenevis- Lac Ste. Anne Co. near Onoway and Lac Ste. Anne- Parkland Co. near Entwistle Fallis and Tomahawk- Parkland Co. near Wabamun Carvel and Keephills- Parkland Co. near Spruce Grove and Stony Plain- Sturgeon Co. near Rivière Qui Barre and Villeneuve- Sturgeon Co. near Legal and Mearns- Sturgeon Co. near Morinville Volmer and Big Lake- Leduc Co. near Warburg Thorsby and Pigeon Lake- Leduc Co. near Calmar and Devon- Brazeau Co. near Drayton Valley and Breton- Co. of Wetaskiwin near Pigeon Lake- Co. of Wetaskiwin near Alder Flats and Winfield,AB,18:45,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/28/start-WoodlandsCo.nearF-184512.cap,01:15,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/28/end-WoodlandsCo.nearF-184512.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/28/WoodlandsCo.nearF-184512.geojson
26/07/28,M.D. of Lesser Slave River near Chisholm and Cross Lake- Westlock Co. near Larkspur Fawcett and Jarvie- Westlock Co. near Westlock and Clyde- Athabasca Co. near Athabasca and Island Lake- Athabasca Co. near Rochester Colinton and Meanook- Athabasca Co. near Grassland and Atmore- Athabasca Co. near Boyle and Caslan- Thorhild Co. near Newbrook and Long Lake Prov. Park,AB,18:45,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/28/start-M.D.ofLesserSlave-184512.cap,02:20,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/28/end-M.D.ofLesserSlave-184512.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/28/M.D.ofLesserSlave-184512.geojson
26/07/29,Snow Lake and Herb Lake Landing,MB,18:00,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/29/start-SnowLakeandHerbL-180004.cap,23:26,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/29/end-SnowLakeandHerbL-180004.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/29/SnowLakeandHerbL-180004.geojson
26/07/29,Leaf Rapids,MB,18:00,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/29/start-LeafRapids-180004.cap,00:04,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/29/end-LeafRapids-180004.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/29/LeafRapids-180004.geojson
26/07/29,Wabowden- Hwy 6 between Little Limestone Lake and Ponton,MB,18:00,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/29/start-Wabowden-Hwy6betw-180004.cap,00:21,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/29/end-Wabowden-Hwy6betw-180004.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/29/Wabowden-Hwy6betw-180004.geojson
26/07/29,Nelson House,MB,18:00,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/29/start-NelsonHouse-180004.cap,00:49,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/29/end-NelsonHouse-180004.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/29/NelsonHouse-180004.geojson
26/07/29,Molson Lake and Bear Lake- Split Lake and York Landing,MB,18:00,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/29/start-MolsonLakeandBear-180004.cap,01:44,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/29/end-MolsonLakeandBear-180004.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/29/MolsonLakeandBear-180004.geojson
26/07/29,Cross Lake and Jenpeg- Norway House- South Indian Lake and Amisk Prov. Park- Thompson Thicket Portage and Pikwitonei,MB,18:00,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/29/start-CrossLakeandJenpe-180004.cap,01:45,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/29/end-CrossLakeandJenpe-180004.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/29/CrossLakeandJenpe-180004.geojson
26/07/30,Gillam- Oxford House and Gods Lake,MB,00:21,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/30/start-Gillam-OxfordHouse-002105.cap,01:44,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/CAP_Alerts/2026/07/30/end-Gillam-OxfordHouse-002105.cap,https://github.com/JThompson-007/watchreader/blob/main/Archived_Files/Polygons/2026/07/30/Gillam-OxfordHouse-002105.geojson
26/08/03,Dryden - Vermilion Bay- Fort Frances - Emo - Rainy River,ON,22:19,https://github.com/JThompson-007/tornado-alert-reader/blob/main/Watches/Archived_Files/CAP_Alerts/2026/08/03/start-Dryden-VermilionB-221929.cap,04:11,https://github.com/JThompson-007/tornado-alert-reader/blob/main/Watches/Archived_Files/CAP_Alerts/2026/08/03/end-Dryden-VermilionB-221929.cap,https://github.com/JThompson-007/tornado-alert-reader/blob/main/Watches/Archived_Files/Polygons/2026/08/03/Dryden-VermilionB-221929.geojson
26/08/03,Ignace - English River- Seine River Village - Mine Centre,ON,22:19,https://github.com/JThompson-007/tornado-alert-reader/blob/main/Watches/Archived_Files/CAP_Alerts/2026/08/03/start-Ignace-EnglishRiv-221929.cap,05:23,https://github.com/JThompson-007/tornado-alert-reader/blob/main/Watches/Archived_Files/CAP_Alerts/2026/08/03/end-Ignace-EnglishRiv-221929.cap,https://github.com/JThompson-007/tornado-alert-reader/blob/main/Watches/Archived_Files/Polygons/2026/08/03/Ignace-EnglishRiv-221929.geojson
26/08/04,Atikokan - Shebandowan - Quetico Park,ON,00:46,https://github.com/JThompson-007/tornado-alert-reader/blob/main/Watches/Archived_Files/CAP_Alerts/2026/08/04/start-Atikokan-Shebandow-004630.cap,05:23,https://github.com/JThompson-007/tornado-alert-reader/blob/main/Watches/Archived_Files/CAP_Alerts/2026/08/04/end-Atikokan-Shebandow-004630.cap,https://github.com/JThompson-007/tornado-alert-reader/blob/main/Watches/Archived_Files/Polygons/2026/08/04/Atikokan-Shebandow-004630.geojson
26/08/13,Smoky Lake Co. near Vilna Saddle Lake and Whitefish Lake- Co. of St. Paul near Ashmont St. Vincent and St. Lina- Co. of St. Paul near St. Paul and Lafond- Co. of St. Paul near Elk Point and St. Edouard- Co. of St. Paul near Lindbergh and Frog Lake- M.D. of Bonnyville near Glendon and Moose Lake- M.D. of Bonnyville near Bonnyville Ardmore and Kehewin Res.- M.D. of Bonnyville near Beaverdam- M.D. of Bonnyville near Fishing Lake Smt- Co. of Two Hills near Two Hills and Brosseau- Co. of Two Hills near Myrnam and Derwent- Co. of Minburn near Innisfree Lavoy and Ranfurly- Co. of Minburn near Minburn and Mannville- Co. of Vermilion River near Vermilion- Co. of Vermilion River near Islay and McNabb Sanctuary- Co. of Vermilion River near Dewberry and Clandonald- Co. of Vermilion River near Tulliby Lake- Co. of Vermilion River near Kitscoty and Marwayne,AB,18:46,https://github.com/JThompson-007/tornado-alert-reader/blob/main/Watches/Archived_Files/CAP_Alerts/2026/08/13/start-SmokyLakeCo.near-184636.cap,01:31,https://github.com/JThompson-007/tornado-alert-reader/blob/main/Watches/Archived_Files/CAP_Alerts/2026/08/13/end-SmokyLakeCo.near-184636.cap,https://github.com/JThompson-007/tornado-alert-reader/blob/main/Watches/Archived_Files/Polygons/2026/08/13/SmokyLakeCo.near-184636.geojson
