Date (Local),Locations,Prov.,Issued At (UTC),Issued Link,Ended At (UTC)
7-5-2026,- R.m. Of Frenchman Butte Including St. Walburg,SK,0:03,https://www.facebook.com/share/p/19HE4LVdHy/,0:15
,- R.m. Of Mervin Including Turtleford Mervin And Spruce Lake,,,,0:49
7-5-2026,- R.m. Of Turtle River Including Edam And Vawn,SK,0:15,https://www.facebook.com/share/p/1DE26ToNUP/,0:57
7-5-2026,- R.m. Of Manitou Lake Including Marsden,SK,0:17,https://www.facebook.com/share/p/1VSQMD5DY3/,0:30
,- R.m. Of Hillsdale Including Neilburg And Baldwinton,,,,1:01
7-5-2026,- R.m. Of Parkdale Including Glaslyn And Fairholme,SK,0:25,https://www.facebook.com/share/p/1Lb4RVZnv9/,1:41
7-5-2026,"- Co. Of Stettler Near Byemoor And Endiang
- Starland Co. Near Michichi And Delia",AB,0:30,https://www.facebook.com/share/p/1JHC2m2pAt/,1:06
,- Starland Co. Near Rumsey And Rowley,,,,1:17
7-5-2026,- Co. Of Stettler Near Big Valley,AB,0:32,https://www.facebook.com/share/p/19M4UMPH4v/,0:55
7-5-2026,"- R.m. Of Cut Knife Including Cut Knife
- R.m. Of Paynton Including Paynton",SK,0:36,https://www.facebook.com/share/p/1Cx1hAhT5C/,1:01
7-5-2026,"- Kneehill Co. Near Torrington And Wimborne
",AB,0:37,https://www.facebook.com/share/p/1CmuStuodM/,0:46
,- Kneehill Co. Near Trochu And Huxley,,,,1:17
7-5-2026,- S.a. 2 Near Spondin And Scapa,AB,0:41,https://www.facebook.com/share/p/1JWoa9ZBvD/,1:34
7-5-2026,- Kneehill Co. Near Three Hills,AB,0:54,https://www.facebook.com/share/p/1bH75mMasS/,1:17
7-5-2026,- R.m. Of Medstead Including Medstead Belbutte And Birch Lake,SK,0:57,https://www.facebook.com/share/p/1DKTWgb1Bf/,2:20
7-5-2026,- R.m. Of Meota Including Meota And The Battlefords Prov. Park ,SK,1:03,https://www.facebook.com/share/p/19L3w2yeK4/,1:41
7-5-2026,- R.m. Of Round Hill Including Rabbit Lake And Whitkow,SK,1:21,https://www.facebook.com/share/p/1C34aAoRmA/,2:36
7-5-2026,- R.m. Of Meeting Lake,SK,1:44,https://www.facebook.com/share/p/1Cu5u5akWh/,2:35
7-5-2026,- R.m. Of Spiritwood Including Spiritwood And Leoville,SK,1:44,https://www.facebook.com/share/p/1BfG2VDeGA/,2:32
7-5-2026,"- R.m. Of Canwood Including Debden And Big River Res.
- R.m. Of Spiritwood Including Spiritwood And Leoville ",SK,3:05,https://www.facebook.com/share/p/1D9NBn2eP8/,3:20
2026-07-05,"- Jackhead Res.
",MB,23:00,https://www.facebook.com/share/p/1JFQUciF44/,23:44
,- R.m. Of Grahamdale Incl. Gypsumville Moosehorn And Camper,,,,23:50
,- R.m. Of Fisher Incl. Poplarfield,,,,0:22
2026-07-05,- Peguis Res. And Fisher River Res.,MB,23:22,https://www.facebook.com/share/p/1LEyC3zPLB/,0:02
2026-07-05,- Mun. Of Bifrost-Riverton Incl. Arborg Hnausa And Hecla,MB,23:34,https://www.facebook.com/share/p/1FzwyWtm92/,0:39
2026-07-06,- Mun. Of Oakland-Wawanesa Incl. Carroll,MB,0:17,https://www.facebook.com/share/p/1HF5Wiz2Ht/,1:16
2026-07-06,- Mun. Of Glenboro-South Cypress Incl. Treesbank,MB,0:37,https://www.facebook.com/share/p/1CajKCth7d/,1:25
2026-07-06,- R.m. Of Prairie Lakes Incl. Margaret Ninette And Belmont,MB,1:01,https://www.facebook.com/share/p/19GTQ8CWeg/,1:16
7-6-2026,"- R.m. Of Argyle Including Gainsborough And Carievale
- R.m. Of Mount Pleasant Including Carnduff",SK,1:12,https://www.facebook.com/share/p/19K5o5RAMs/,1:36
2026-07-06,- R.m. Of Sifton Incl. Oak Lake And Deleau,MB,2:17,https://www.facebook.com/share/p/1C83uJ6rxU/,2:54
7-6-2026,"- R.m. Of Newcombe Including Glidden And Madison
",SK,2:23,https://www.facebook.com/share/p/1HUXG61xeF/,2:51
,- R.m. Of Snipe Lake Including Eston And Plato,,,,3:07
2026-07-06,"- Mun. Of Oakland-Wawanesa Incl. Carroll
- Mun. Of Souris-Glenwood",MB,2:24,https://www.facebook.com/share/p/1AUhQqJUBR/,2:54
7-6-2026,- R.m. Of Deer Forks Including Burstall And Estuary,SK,2:26,https://www.facebook.com/share/p/18uu2S9rv6/,2:27
,"- R.m. Of Clinworth Including Sceptre Lemsford And Portreeve
",,,,3:06
7-6-2026,- R.m. Of Happyland Including Leader Prelate And Mendham,SK,2:27,https://www.facebook.com/share/p/1DC3iMiwPw/,2:58
2026-07-06,- R.m. Of Cornwallis West Of Shilo Incl. Chater,MB,2:44,https://www.facebook.com/share/p/18uSQm89sm/,2:56
7-6-2026,"- R.m. Of Fox Valley Including Fox Valley
- R.m. Of Miry Creek Including Abbey Lancer And Shackleton
- R.m. Of Pittville Including Hazlet",SK,2:47,https://www.facebook.com/share/p/193kL84cJx/,3:06
2026-07-06,- Mun. Of Grassland Incl. Hartney And Minto,MB,3:17,https://www.facebook.com/share/p/18VT6UTEMv/,3:39
2026-07-06,"- Mun. Of Oakland-Wawanesa Incl. Carroll
",MB,2:23,https://www.facebook.com/share/p/1axz3C1EuD/,3:32
,- Mun. Of Souris-Glenwood,,,,3:39
2026-07-06,- Buffalo Point Res. And Northwest Angle Prov. Forest,MB,19:23,https://www.facebook.com/share/p/19P9uNTf3h/,19:41
7-9-2026,- M.D. of Wainwright near Edgerton and Koroluk Landslide,AB,1:22,https://www.facebook.com/share/p/17trwyojKc/,1:49
,"- Co. of Vermilion River near Paradise Valley
",,,,1:58
,- M.D. of Wainwright near Chauvin Dillberry Lake and Roros,,,,2:48
7-9-2026,"- R.M. of Manitou Lake including Marsden
",SK,1:49,https://www.facebook.com/share/p/1EGjidb6bD/,3:10
,- R.M. of Senlac including Senlac,,,,3:28
7-9-2026,- M.D. of Provost near Provost and Hayter,AB,2:13,https://www.facebook.com/share/p/1LtHJs5uF7/,2:48
7-9-2026,- R.M. of Round Valley including Unity,SK,2:58,https://www.facebook.com/share/p/1B6StHVKue/,3:37
7-9-2026,- R.M. of Grass Lake including Salvador and Reward,SK,3:10,https://www.facebook.com/share/p/1ESqqTDjnh/,3:37
7-9-2026,"- R.M. of Medstead including Medstead Belbutte and Birch Lake
",SK,3:58,https://www.facebook.com/share/p/1EV7f7zPrv/,4:39
,- R.M. of Spiritwood including Spiritwood and Leoville,,,,4:56
7-9-2026,"- R.M. of Leask including Leask Mistawasis Res. and Parkside
- R.M. of Meeting Lake",SK,4:29,https://www.facebook.com/share/p/1F33KXPfHr/,5:10
2026-07-09,- R.M. of Prairie Lakes incl. Margaret Ninette and Belmont,MB,20:43,https://www.facebook.com/share/p/185didnPwp/,21:09
,- Mun. of Killarney-Turtle Mountain,,,,21:22
2026-07-09,- Cartwright-Roblin Mun. incl. Mather,MB,20:55,https://www.facebook.com/share/p/1GbQKaD5Ai/,22:15
7-10-2026,"- Lac Ste. Anne Co. near Cherhill and Glenevis
- Lac Ste. Anne Co. near Mayerthorpe and Sangudo",AB,2:53,https://www.facebook.com/share/p/1LtHJs5uF7/,3:11
,- Co. of Barrhead near Thunder Lake and Holmes Crossing,,,,3:35
7-10-2026,- Co. of Barrhead near Barrhead and Lac la Nonne,AB,3:11,https://www.facebook.com/share/p/1HMHEoT8DC/,3:34
7-10-2026,- Ponoka Co. near Rimbey Bluffton and Hoadley,AB,3:24,https://www.facebook.com/share/p/1HKUryX7LX/,3:42
7-10-2026,- R.M. of Gravelbourg including Gravelbourg and Bateman,SK,3:46,https://www.facebook.com/share/p/18yeYQGDtV/,4:18
7-10-2026,- R.M. of Cut Knife including Cut Knife,SK,19:36,https://www.facebook.com/share/p/18KCmbW21t/,19:59
7-10-2026,- R.M. of Battle River including Sweet Grass Res. and Delmas,SK,19:45,https://www.facebook.com/share/p/1K899xDYrd/,20:46
7-10-2026,"- R.M. of North Battleford northwest of The Battlefords
",SK,19:59,https://www.facebook.com/share/p/18kY7kShUR/,21:12
7-10-2026,- The Battlefords,SK,20:19,https://www.facebook.com/share/p/1cPGkjG7pk/,20:51
7-10-2026,- R.M. of Douglas including Speers Richard and Alticane,SK,20:44,https://www.facebook.com/share/p/19GoBD7WYx/,21:56
7-10-2026,- R.M. of Mayfield including Maymont Denholm and Fielding,SK,21:12,https://www.facebook.com/share/p/1BLZkaA1kb/,21:56
7-10-2026,- R.M. of Redberry including Hafford and Krydor,SK,21:25,https://www.facebook.com/share/p/1HXZ64FjC8/,22:26
7-10-2026,- R.M. of Blaine Lake including Blaine Lake,SK,21:56,https://www.facebook.com/share/p/1935ZMaBae/,22:58
7-10-2026,- R.M. of Dundurn including Dundurn and Blackstrap Prov. Park,SK,21:59,https://www.facebook.com/share/p/18ELrK4Kh9/,22:26
7-10-2026,- R.M. of Lost River including South Allan and the Allan Hills,SK,22:12,https://www.facebook.com/share/p/1EoMmgWfnW/,22:39
7-10-2026,"- R.M. of Great Bend including Radisson and Borden
",SK,22:12,https://www.facebook.com/share/p/18TVCeTQZB/,22:34
,- R.M. of Laird including Waldheim Hepburn and Laird,,,,23:15
7-10-2026,- R.M. of Blucher including Allan Clavet Bradwell and Elstow,SK,22:22,https://www.facebook.com/share/p/1CqZL2ynLo/,22:55
7-10-2026,- R.M. of Rosthern including Rosthern Hague and Carlton,SK,22:43,https://www.facebook.com/share/p/1d4LpDygfp/,0:03
7-10-2026,- R.M. of Colonsay including Colonsay and Meacham,SK,22:43,https://www.facebook.com/share/p/18xCdes1LG/,23:30
7-10-2026,- R.M. of Viscount including Viscount and Plunkett,SK,22:57,https://www.facebook.com/share/p/14m7N9j8ozh/,0:04
7-10-2026,- R.M. of Morris including Watrous Young and Zelma,SK,22:58,https://www.facebook.com/share/p/1DCTwVFJeB/,23:30
7-10-2026,"- R.m. Of Aberdeen Including Aberdeen
",SK,23:30,https://www.facebook.com/share/p/1DC7XaqBzE/,0:02
7-10-2026,- Yellowhead Co. near MacKay Wildwood and Evansburg,AB,23:34,https://www.facebook.com/share/p/19YTunPugo/,23:49
,"- Parkland Co. near Entwistle Fallis and Tomahawk
",,,,0:27
7-10-2026,- R.M. of Wolverine including Burr,SK,23:41,https://www.facebook.com/share/p/1LBbTGaos3/,0:44
,- R.M. of Usborne including Lanigan Drake and Guernsey,,,,1:03
7-10-2026,- R.M. of Grant including Vonda Prud'homme and Smuts,SK,23:41,https://www.facebook.com/share/p/19HXsqga9b/,0:08
7-10-2026,"- R.M. of Fish Creek including Alvena
- R.M. of Hoodoo including Wakaw and Cudworth",SK,23:44,https://www.facebook.com/share/p/1HtUBGZ3xc/,0:08
7-11-2026,- R.M. of Leroy including Leroy,SK,0:04,https://www.facebook.com/share/p/1C1wancmwV/,1:25
7-11-2026,- Parkland Co. near Wabamun Carvel and Keephills,AB,0:14,https://www.facebook.com/share/p/1GZtnbR3vk/,0:25
7-11-2026,- R.M. of Prairie Rose including Jansen and Esk,SK,0:18,https://www.facebook.com/share/p/1C6F6v3XhA/,1:56
7-11-2026,- R.M. of Big Quill including Wynyard Dafoe and Kandahar,SK,1:25,https://www.facebook.com/share/p/1HCf4uAvHM/,2:17
7-11-2026,- R.M. of Kinistino including Kinistino and James Smith Res.,SK,1:27,https://www.facebook.com/share/p/19HYRq4enJ/,1:50
7-11-2026,- R.M. of Elfros including Elfros Leslie and Mozart,SK,1:56,https://www.facebook.com/share/p/14hwEkdMPRd/,2:14
7-11-2026,"- R.M. of Cupar including Southey Cupar and Markinch
",SK,2:45,https://www.facebook.com/share/p/1cj1HFf5C6/,2:58
,- R.M. of Lipton including Lipton and Dysart,,,,3:47
7-11-2026,- R.M. of Tullymet including Peepeekisis Res.,SK,3:16,https://www.facebook.com/share/p/1DcfFwt3sy/,4:44
7-11-2026,- R.M. of Stanley including Goodeve Fenwood and Duff,SK,4:15,https://www.facebook.com/share/p/198aEompwE/,4:44
2026-07-11,- Lake Winnipegosis ,MB,21:03,https://www.facebook.com/share/p/1LvJF6kax3/,22:59
2026-07-11,- R.M. of Mountain including Cowan and Camperville ,MB,21:03,https://www.facebook.com/share/p/19BTLAfNqR/,21:26
,"- Mossey River Mun. incl. Winnipegosis and Fork River
",,,,22:59
2026-07-11,- Waterhen Meadow Portage and Skownan,MB,21:26,https://www.facebook.com/share/p/191nRqq5DZ/,22:21
2026-07-11,- R.M. of Lakeshore incl. Rorketon and Toutes Aides,MB,22:05,https://www.facebook.com/share/p/1NazSJ2BHm/,23:18
2026-07-11,- R.M. of Alonsa incl. Ebb and Flow Res. and Sandy Bay Res.,MB,22:41,https://www.facebook.com/share/p/1LZBT9i6bh/,23:18
7-11-2026,- Co. of Vermilion River near Tulliby Lake ,AB,23:31,https://www.facebook.com/share/p/1KwHgN4E8Y/,0:03
7-11-2026,"- R.M. of Frenchman Butte including St. Walburg
",SK,23:37,https://www.facebook.com/share/p/18C2uUSw1Z/,0:07
,- R.M. of Loon Lake including Loon Lake and Makwa,,,,1:15
7-12-2026,- R.M. of Parkdale including Glaslyn and Fairholme,SK,0:53,https://www.facebook.com/share/p/1DHvMAwMAY/,2:03
7-12-2026,- R.M. of Meadow Lake including Waterhen Res.,SK,0:56,https://www.facebook.com/share/p/1FEZmU2woh/,1:15
7-12-2026,- R.M. of Medstead including Medstead Belbutte and Birch Lake,SK,1:00,https://www.facebook.com/share/p/1EdyNrXFZC/,2:51
7-12-2026,- R.M. of Meadow Lake including Waterhen Res.,SK,1:27,https://www.facebook.com/share/p/19F6o8H7WF/,1:50
,- R.M. of Big River including Big River and Chitek Lake,,,,3:09
7-12-2026,- R.M. of Spiritwood including Spiritwood and Leoville,SK,1:41,https://www.facebook.com/share/p/1LAGfM1BfP/,3:09
7-12-2026,- R.M. of Round Hill including Rabbit Lake and Whitkow,SK,2:01,https://www.facebook.com/share/p/1BaWhsoyex/,3:21
7-12-2026,- R.M. of Meota including Meota and The Battlefords Prov. Park,SK,2:03,https://www.facebook.com/share/p/1JgDLtLXP9/,2:25
7-12-2026,- R.M. of Meeting Lake,SK,2:25,https://www.facebook.com/share/p/18zeJPDMar/,3:28
7-12-2026,- R.m. Of Canwood Including Debden And Big River Res.,SK,2:51,https://www.facebook.com/share/p/1J8SKQgFGA/,3:09
7-12-2026,- R.M. of Douglas including Speers Richard and Alticane,SK,2:58,https://www.facebook.com/share/p/18EqYz8vEo/,3:51
7-12-2026,- R.M. of Prince Albert including Davis,SK,3:25,https://www.facebook.com/share/p/1FDyj2JSeY/,4:26
7-12-2026,- R.M. of Duck Lake including Duck Lake and Beardy's Res.,SK,3:26,https://www.facebook.com/share/p/1HTKHdnCno/,4:26
7-12-2026,- R.M. of Birch Hills including Muskoday Res. ,SK,3:37,https://www.facebook.com/share/p/1Edvhbyyr3/,4:26
7-12-2026,- R.M. of Redberry including Hafford and Krydor,SK,3:44,https://www.facebook.com/share/p/1ACxTzCb9i/,4:03
7-12-2026,- R.M. of St Louis including One Arrow Res. and Domremy,SK,4:14,https://www.facebook.com/share/p/1BfeuSNeym/,4:43
7-15-2026,"- S.A. 2 near Hanna and Richdale
- Starland Co. near Michichi and Delia",AB,1:44,https://www.facebook.com/share/p/1PWECvfJR3/,2:13
7-16-2026,- R.M. of Piapot including Piapot ,SK,3:08,https://www.facebook.com/share/p/1Ct3y7sS6q/,3:39
7-16-2026,- R.M. of Carmichael including Carmichael,SK,3:14,https://www.facebook.com/share/p/19R2R2jMA3/,3:47
,- R.M. of Gull Lake including Gull Lake and Tompkins,,,,3:47
7-16-2026,- Buffalo Narrows and Peter Pond Lake,SK,3:55,https://www.facebook.com/share/p/1EomwsUrht/,4:34
7-16-2026,"- Co. of Warner near Warner
",AB,21:32,https://www.facebook.com/share/p/194HVU4wqr/,22:27
,- Co. of Warner near Wrentham,,,,22:27
7-16-2026,- Co. of Warner near Writing-On-Stone Prov. Park,AB,21:57,https://www.facebook.com/share/p/1EBDfGY2jh/,22:27
7-17-2026,- Yellowhead Co. near Minnow and Wolf Lakes and Elk River,AB,23:54,https://www.facebook.com/share/p/1cztcCQnHr/,1:20
,- Yellowhead Co. near Cadomin and Robb,,,,1:56
2026-07-18,"- Brampton
- Halton Hills
- Milton
- Mississauga",ON,16:18,https://www.facebook.com/share/p/1Bakthexr9/,16:39
2026-07-18,"- Burlington
- Oakville",ON,16:19,https://www.facebook.com/share/p/1HQFWfh9Xv/,16:43
2026-07-18,- Western Lake Ontario,ON,16:25,https://www.facebook.com/InstantWeatherON/posts/pfbid0327ainuQ29ePRWbRjt5yhUxeHBKgP3sN9eC18bPGfpMkYf8oUMSny9QkF1cUvPMxkl,17:24
7-18-2026,- Clearwater Co. near Rocky Mtn House and Crimson Lake,AB,23:22,https://www.facebook.com/share/p/1bSmJ9C1Yo/,1:56
7-19-2026,- Lacombe Co. near Eckville,AB,1:14,https://www.facebook.com/share/p/19QSc49p44/,2:14
7-19-2026,- Ponoka Co. near Rimbey Bluffton and Hoadley,AB,1:14,https://www.facebook.com/share/p/192zKGVqnV/,2:13
7-19-2026,- R.M. of Beaver River including Pierceland and Goodsoil,SK,2:29,https://www.facebook.com/share/p/18ciJoEbU2/,3:30
7-19-2026,- R.M. of Loon Lake including Loon Lake and Makwa,SK,3:01,https://www.facebook.com/share/p/1bbMQaKWPg/,3:30
2026-07-21,"- Kanata
- Orléans
- Ottawa North
",ON,20:11,https://www.facebook.com/share/p/1AG1VQjyTj/,20:20
,- Prescott And Russell,,,,20:56
7-21-2026,"- Mont-Tremblant
- Sainte-Agathe area",QC,21:33,https://www.facebook.com/share/p/1EfTSEHrdE/,22:08
